Abstrac,label
@Kemhan_RI @prabowo @jokowi wahh keren banget neh  #PrabowoPerkuatPertahanan,pro
@IstanaBingung @mohmahfudmd @jokowi Iya ini baru kelihatan Ki lurah.. Ijin follow Ki,kontra
"@OposisiOjol @dhiemas_rhathre @Miduk17 @jokowi Ente kadang"" ente ğŸ¤£",kontra
"@MrsRachelIn @AllenWa51704921 @Rizki_riyanto22 @NyiMasRuminah @jokowi @_ekokuntadhi Sok tau memghakimin orang lain.  Siapa bilang gw mingkem jalan Mobnas Timor, gw ikut demo kala itu ğŸ¤£ğŸ¤£ğŸ¤£ karena Timor merugikan kami yg berbisnis dg fair.  Tapi emang Jokowi Ngibul saat diwwawancarai Metrotipu sih, Esemka laku 6000 unit ğŸ¤£ğŸ¤£ğŸ¤£ padahal cuma bikin 6 unit",kontra
"Presiden @jokowi Dorong Peningkatan Produksi Kedelai Nasional  Presiden Joko Widodo memimpin rapat bersama jajarannya untuk membahas tata kelola dan peningkatan produktivitas kedelai di Istana Merdeka, Jakarta, pada Senin, 19 September 2022.  https://t.co/6u1HLxTLwA",pro
@kafiradikalis @Asa_Afi @NatNatalie___ @jokowi @lukmansaifuddin @NajwaShihab @ridwankamil @Rosianna766Hi Satirenya bikin eneghh,kontra
"@FerdinandHutah4 @jokowi @SBYudhoyono @PDemokrat eman loe cerdas apa,,,,orang2 jg tau mana cerdas mana tdk..ap lagi buzzer2 orang dh tau kapasitasx bn cara berfikirx",kontra
@GarengHallu @jokowi Presiden ku  ğŸ’–ğŸ‡®ğŸ‡©,pro
@jokowi Udah bukannya lagi pencitraan de owie,pro
"Menindaklanjuti perintah Presiden @jokowi untuk mencari solusi dalam meningkatkan taraf hidup para nelayan, Menteri BUMN @erickthohir meluncurkan program Solar Untuk Koperasi Nelayan seharga Rp. 6.800,- per liter. Terima kasih pak Erick ğŸ™ğŸ‡®ğŸ‡© #BangkitBersamaET  https://t.co/jgySzcy3Fu",pro
@ZAINAL64638613 @tribunnews @SBYudhoyono @jokowi @mohmahfudmd Wis minum obat sana.. percuma buang2 waktu..tak kira ngerti hukumğŸ˜ğŸ˜©,kontra
@IstanaBingung @mohmahfudmd @jokowi gmana kabarnya pak lurah,kontra
@PramanaSirena Gagal blay Mau bangun # sbybapakahok ? Gak bakal brazil Sudah kadung MELEKAT PADA @jokowi Karna semua dibangun dg hoax,kontra
@bedhoelsz @YRadianto @AgusYudhoyono @jokowi kinerja apa? Uangnya ada. Tinggal kita mau kerja apa tidak! ehhh tetiba hutang 4.800 Triliun selama 7 Tahun. Anak Paud juga bisa bangun Tol segitu. Uang dari utang. Yg ujungÂ²nya cabut subsidi BBM. Cabut subsidi Listrik. Cabut semua...ğŸ¤£,kontra
@ZAINAL64638613 @tribunnews @SBYudhoyono @jokowi @mohmahfudmd Percuma ngomong sama anak kecil..di pinta dalil kok muter muter terus..,kontra
Pak @jokowi  memangnya komisioner @KPK_RI lainnya kerja? percuma Pak ditambah.. para komisioner ini yg dahulu gadang2 akan menjalankan pencegahan seperti harapan Bapak. Terbukti gagal.. periode mereka ini terjadi korupsi ketika Pandemi. dimana pencegahannya? sangat ironis..,kontra
@jokowi @ListyoSigitP @DivHumas_Polri @MataNajwa @NajwaShihab @radarbogorID @Tribun_Jakarta #tribun #percumalaporpolisi #indonesia #tniaddihatirakyat #tni @FBI @FBIWFO @CIA   https://t.co/ytxZyaV7lY,kontra
@dhiemas_rhathre @Miduk17 @jokowi Amin...,pro
@ZAINAL64638613 @tribunnews @SBYudhoyono @jokowi @mohmahfudmd Konteksnya ini masalah laknat..menurut anda boleh melaknat kepada seseorang padahal dia Islam juga .saya perlu dalil yang membolehkan itu coba tampilkan..,kontra
@kafiradikalis @Asa_Afi @NatNatalie___ @jokowi @lukmansaifuddin @NajwaShihab @ridwankamil @Rosianna766Hi Klw ini sarkas bilangin dunk Biar GK pusing akutuh,kontra
